recid,boro,uf1_1,uf1_2,uf1_3,uf1_4,uf1_5,uf1_6,uf1_7,uf1_8,uf1_9,uf1_10,uf1_11,uf1_12,uf1_13,uf1_14,uf1_15,uf1_16,uf1_35,uf1_17,uf1_18,uf1_19,uf1_20,uf1_21,uf1_22,sc23,sc24,sc36,sc37,sc38,sc30,sc518,uf49,sc520,uf33,uf51,sc522,sc553,sc555,sc523,sc524,sc525,sc526,sc527,sc528,sc529,sc530,sc531,sc532,sc533,sc534,sc535,uf31,uf19,new_csr,nusc,sc26,uf23,rec62,rec64,uf32,rec21,cd,seqno,fw,hflag6,hflag3,hflag15,hflag17,hflag8,hflag5
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,2,2,11,1,07,07,1,1,1,3,02,0,3,0,4,2,3,6,2,3,3,08,99999,2,04,03,11,05,1,1,9999,1,03,479998,181.20572,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,5,3,03,1,01,03,2,9,2,4,03,0,3,0,4,1,1,8,4,4,3,09,99999,2,04,13,11,10,1,1,9999,1,03,365570,205.77299,0,0,0,0,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,1,2,06,3,02,03,2,9,2,4,03,0,3,0,4,1,1,4,2,1,1,99,01000,2,80,01,07,10,1,1,0250,1,03,388758,205.53952,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,1,2,06,3,02,04,2,9,2,4,03,0,3,0,4,1,1,4,2,1,1,99,01000,2,80,01,07,10,1,1,0250,1,03,369675,218.36216,0,0,1,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,5,2,03,2,01,03,2,9,2,4,03,0,3,0,4,1,1,3,2,1,1,99,01600,2,80,13,07,08,1,1,0400,1,03,012074,184.2349,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,1,4,2,11,2,05,06,2,9,2,4,03,0,3,0,4,1,1,4,2,1,3,03,99999,2,04,02,11,08,1,1,9999,1,03,195780,171.18646,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,1,2,13,2,06,06,1,2,1,1,01,0,3,0,4,1,1,5,2,1,1,99,00665,2,31,03,07,05,1,1,0665,1,03,371857,192.35768,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,3,2,2,2,2,8,2,12,2,05,07,1,2,2,4,03,0,3,0,4,1,1,3,2,1,1,99,01400,1,30,02,07,08,1,1,0350,1,03,545942,248.49412,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,1,1,1,2,12,2,05,02,1,2,2,3,02,0,3,0,4,1,1,1,2,1,3,03,99999,1,04,02,11,08,1,1,9999,1,03,686704,184.2349,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,1,5,2,12,2,04,06,2,9,2,3,02,0,3,0,4,1,1,3,2,1,1,99,00950,2,30,02,07,08,1,1,0316,1,03,150990,255.9731,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,1,2,2,12,2,05,02,1,2,2,5,03,0,3,0,4,1,1,1,2,1,3,03,99999,1,04,02,11,08,1,1,9999,1,03,871241,184.2349,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,1,5,2,12,2,04,03,1,2,2,3,02,0,3,0,4,1,1,2,2,1,1,99,01350,1,30,02,07,07,1,1,0450,1,03,141003,178.39613,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,1,5,2,12,2,05,04,1,1,1,3,03,0,3,0,4,1,1,2,2,1,3,03,99999,1,04,02,11,07,1,1,9999,1,03,477096,153.88614,0,0,0,0,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,1,2,1,2,4,3,4,2,05,1,02,03,2,9,2,6,03,0,3,0,4,1,1,6,1,1,3,08,99999,2,04,05,11,09,1,1,9999,1,04,985115,194.9866,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,1,9,9,9,2,2,2,4,2,1,2,11,2,04,02,2,9,2,6,05,0,3,0,4,1,1,1,2,1,3,04,99999,2,04,02,11,08,1,1,9999,1,04,645922,174.83893,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,1,2,2,2,4,3,5,2,05,2,02,04,2,9,2,5,03,0,3,0,4,2,1,6,2,1,3,04,99999,2,04,12,11,08,1,1,9999,1,04,333737,158.83454,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,9,9,2,2,2,4,2,5,2,11,2,04,06,2,9,2,3,02,0,3,0,4,1,1,5,2,1,1,99,00850,1,30,02,07,08,1,1,0283,1,04,661679,216.2274,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,8,2,2,4,1,1,2,11,2,05,04,2,9,2,3,02,0,3,0,4,1,1,1,2,1,3,01,99999,1,04,02,11,08,1,1,9999,8,04,049744,211.0914,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,1,2,1,1,1,2,11,2,05,03,1,2,2,2,02,0,3,0,4,1,1,3,2,1,1,99,00700,1,30,02,07,07,1,1,0350,1,04,347658,215.94652,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,1,1,2,11,2,05,04,2,9,2,3,02,0,3,0,4,1,1,4,2,1,1,99,00940,2,30,02,07,08,1,1,0313,1,04,580076,169.19332,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,1,2,03,2,01,01,2,9,2,1,01,1,9,1,9,1,1,6,2,1,3,09,99999,2,04,13,11,07,4,4,9999,1,04,791672,211.0914,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,8,8,8,8,8,8,9,9,9,9,1,9,2,2,2,4,2,1,1,11,2,05,01,2,9,2,2,02,0,3,0,4,1,1,6,3,1,3,05,99999,2,04,02,11,09,1,1,9999,1,04,343090,219.90729,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,2,2,13,2,05,07,1,1,1,3,02,0,3,0,4,4,1,4,2,1,3,04,99999,2,04,03,11,05,1,1,9999,1,04,002543,149.10249,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,9,3,2,2,2,1,5,2,12,2,05,05,1,2,2,4,03,0,3,0,4,1,4,2,2,4,1,99,01200,1,30,02,07,08,1,1,0300,1,04,456264,195.34882,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,8,2,13,2,07,09,1,1,1,4,03,0,3,0,4,2,1,6,2,1,1,99,01301,2,85,03,07,05,1,1,0325,1,04,930205,174.83893,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,2,2,11,2,04,06,2,9,2,3,02,0,3,0,4,2,1,1,2,1,1,99,01150,1,30,02,07,08,1,1,0383,1,04,560124,219.38228,0,0,0,0,0,0
